ID_Producto_Generado,Marca,Nombre_Producto,Precio_MXN,Moneda,URL_Imagen_Principal,Genero,Categoria_Producto,Coleccion_Fuente
BSK-M-06813073800-V,Bershka,Cazadora efecto piel,1799,MXN,https://static.bershka.net/assets/public/6d57/3025/015d4ac2a646/fc8452db4336/06813073800-p/06813073800-p.jpg,Hombre,Cazadora,Lo Más Vendido
BSK-M-05364352800,Bershka,Jeans baggy parche,1299,MXN,https://static.bershka.net/assets/public/4ba8/f050/ba794c2dba7f/080dbdb8bb9c/05364352800-a4o/05364352800-a4o.jpg?ts=1754901872167&w=850&f=auto,Hombre,Jeans,Lo Más Vendido
BSK-M-07368732627,Bershka,Sudadera boxy capucha,799,MXN,https://static.bershka.net/assets/public/941a/e0e7/192241a1bfc2/b8d425c265e2/07368732627-p/07368732627-p.jpg,Hombre,Sudadera,Lo Más Vendido
BSK-M-05490498800,Bershka,Pantalón felpa jogger,499,MXN,https://static.bershka.net/assets/public/c38a/52eb/c9714a99ab78/5fd87bd0c9e6/05490498800-a4o/05490498800-a4o.jpg,Hombre,Pantalón,Lo Más Vendido
BSK-M-05329335800,Bershka,Jeans baggy cargo,849,MXN,https://static.bershka.net/assets/public/56db/7100/917140a18ecb/3b9d6cfaed29/05329335800-p/05329335800-p.jpg,Hombre,Jeans,Lo Más Vendido
BSK-M-07319686800,Bershka,Jersey cropped,699,MXN,https://static.bershka.net/assets/public/cdce/13ae/455a4760ad98/b7d514fadb8f/07319686800-p/07319686800-p.jpg,Hombre,Jersey,Lo Más Vendido
BSK-M-07043732800,Bershka,Sudadera cremallera capucha,699,MXN,https://static.bershka.net/assets/public/e73f/58d6/c1744c179500/018bbed8ae62/07043732800-a3o/07043732800-a3o.jpg,Hombre,Sudadera,Lo Más Vendido
BSK-M-02810443717,Bershka,Camiseta manga corta boxy,349,MXN,https://static.bershka.net/assets/public/db1b/2d7c/3ce543ebbcda/9d2a2dcc0d8e/02810443717-a3o/02810443717-a3o.jpg,Hombre,Camiseta,Lo Más Vendido
BSK-M-06780730800,Bershka,Cazadora efecto pelo capucha,1299,MXN,https://static.bershka.net/assets/public/a87e/10b4/8f1f4756b2d0/c6127905932a/06780730800-p/06780730800-p.jpg,Hombre,Cazadora,Lo Más Vendido
BSK-M-07370190800,Bershka,Sudadera boxy capucha print,649,MXN,https://static.bershka.net/assets/public/742e/3da8/b3d64bb3ae55/6152c5a9cd95/07370190800-p/07370190800-p.jpg,Hombre,Sudadera,Lo Más Vendido
BSK-M-02811154250,Bershka,Camiseta manga corta básica,199,MXN,https://static.bershka.net/assets/public/cc01/7cd5/557d4cd9ad71/5ef34007fe54/02811154250-a4o/02811154250-a4o.jpg,Hombre,Camiseta,Lo Más Vendido
PB-M-7687922800,Pull & Bear,Jeans pierna ancha bordados,999,MXN,https://static.pullandbear.net/2/photos/2025/I/0/2/p/7687/922/800/7687922800_4_1_8.jpg,Hombre,Jeans,Novedades
